Hard_Word,Frequency
এহন,4
গতকাল,4
গ্রহণের,4
ব্যাবস্তা,4
উন্নতির,4
নরসিংদী,4
ধারের,4
ফানি,4
আমদের,4
বলগ,4
হয়না,4
রিটার্ন,4
পরিণত,4
চুদির,4
জানানো,4
টস,4
পিটাইয়া,4
ডালটা,4
ত্যাগ,4
যানতে,4
৪৫,4
তুলশি,4
দিস,4
লাগছিল,4
17,4
সাধীন,4
সিন্ডিকেট,4
চামুচ,4
ফুটেজে,4
বিভাগ,4
হ্যান্ড,4
মিশিয়ে,4
অব,4
লুকমান,4
উ,4
চেংরাবান্দা,4
ফর,4
অাসছে,4
আলম,4
হোম,4
শিবিরের,4
হইতাছে,4
২৭,4
চাঁদের,4
পর্দায়,4
হেটার্সরা,4
পারল,4
গোশত,4
যমদূত,4
মাদারের,4
ভিজিট,4
বস্তি,4
সংঘটিত,4
এতোটা,4
হিন্দুরা,4
সাইকেল,4
চৌধুরী,4
কায়েস,4
বেবসতা,4
হেদায়েত,4
জন্মায়,4
বিরত,4
হৈ,4
চৈ,4
নহে,4
বয়েজ,4
ফেলেছেন,4
আপ্নারা,4
হেই,4
র‍্যাগ,4
কষ্টে,4
ধনী,4
ধন্য,4
গরুকে,4
থাকতেই,4
সন্মান,4
2500,4
বেনাপোল,4
মাহাবুব,4
এইটুকু,4
ধর্ষক,4
ভয়েস,4
মালাউনের,4
ক্রিকেটে,4
বিড়ালের,4
শোক,4
মেয়েটা,4
খা‌লি,4
ধান্দাবাজ,4
চলচ্চিত্র,4
চালাতে,4
লেক,4
মেলে,4
দোষ,4
প‌রের,4
মানুষই,4
দৈনিক,4
সেপ্টেম্বর,4
লুটে,4
সাইজের,4
নিছেন,4
শুনেছিলাম,4
ছোটলোকের,4
দলকে,4
মিঠা,4
গরমে,4
বিচারকের,4
ওইগুলা,4
তথাকথিত,4
নীলা,4
চিনিগুড়া,4
হাড়ি,4
ট্যুরে,4
নিয়েছিল,4
নিকটে,4
টাউন,4
মানুষগুলো,4
নির্বাচনে,4
বিধান,4
40,4
খাংকি,4
দিতি,4
ওখান,4
প্রচেষ্টা,4
পাপনও,4
খোদার,4
সল্প,4
ব্যাবসায়ী,4
বক,4
প্রাধান্য,4
কর্মকর্তাকে,4
২০০,4
ইনফো,4
মেবি,4
জানাতে,4
রিমান্ড,4
শান্তির,4
হৃদয়,4
চাকুরি,4
গাইলে,4
অত্যাচারের,4
মাদারি,4
যাপন,4
আবর্জনা,4
বলায়,4
কোরাল,4
চাইই,4
পাশ,4
ইনশাআল্লাহ্,4
কুত্তাকে,4
ওদিকে,4
লজ্জিত,4
লাগতেছে,4
কেই,4
ছাত্রলিগের,4
যামু,4
রাজনীতিবিদ,4
13,4
ইস্যুতে,4
মরবে,4
থানায়,4
মুহুর্তে,4
ফেলছেন,4
লইয়া,4
ফাইজলামি,4
এক্সপেরিয়েন্স,4
দুজনের,4
উঠছে,4
সবারই,4
সিলেটিরা,4
চাকরিতে,4
জানবেন,4
সবি,4
মেন,4
হুয়াওয়ে,4
শিঙাড়া,4
বিএনপির,4
ক্বারী,4
অহরহ,4
কালেক্ট,4
বলাটা,4
পড়াশোনা,4
কাফের,4
ম্যাডাম,4
বিহারি,4
ফুটুক,4
দ্রুতই,4
ভাইয়ার,4
শুক্তো,4
বাপে,4
হলোনা,4
বিভাগে,4
গেটের,4
অপজিটে,4
তোমার,4
দিয়েন,4
রহমতের,4
তথ্যবহুল,4
বেডা,4
যা‌বে,4
কন,4
তামিম,4
নাম্বারে,4
বর্ষাকাল,4
পাহাড়ের,4
নিচু,4
মাইয়া,4
দৌড়,4
করছিল,4
নিভিয়ে,4
করেছ,4
তেই,4
ভাগ্যদেবী,4
সেইম,4
এরেস্ট,4
সন্তাস,4
খানকীর,4
চুদতে,4
দরজা,4
ইন্ডিয়ানরা,4
তোরাও,4
শ্যামলী,4
ভিসি,4
এতগুলা,4
ট্রাম্প,4
সিরিজের,4
জনপ্রিয়,4
বন্ধুত্ব,4
ক্রেজি,4
ব্যাক্তিগত,4
অমৃত,4
ফয়সালা,4
চোদাও,4
বউরে,4
টেস,4
রখা,4
মারুফ,4
বয়কট,4
হেতের,4
সংগ্রহ,4
যাহোক,4
কলংক,4
হুশ,4
উপভোগ্য,4
