Text,Actual,Predicted
"স্বাস্থ্যবান হতে চাই , আমি বয়সের তুলনায় অনেক বেশি চিকন । একটু পরামর্শ দেন ",0,1
সৌরভ গাঙ্গুলী ছাড়া দাদাগিরি কখনো জমে উঠত না,0,1
অন্য সব ইউনিভার্সিটিতে এর চেয়ে ভয়াবহ অবস্থা । আমি নিজে একজন ভিক্টিম । খোজ নিয়ে দেখেন,2,1
আর অভাবে কত আসলে সরকারের উচিৎ ভালো কোনো পদক্ষেপ নেয়া ,1,2
আমার পছন্দ সাদা ভা আর গরুর মাংস,0,2
# জনাব_ইসমাইল_চৌধুরী_সম্রাট ভাইয়ের অনতিবিলম্বে নিঃশর্ত মুক্তি চাই,0,1
ঘটনা ঘটার পর টনক সবৈরি লড়ে,0,2
গ্রেপ্তার হওয়া ৩ জন পুরুষ ওদের দেখানো হল না কেন ?,0,2
নওসিন বুবু কেন আপনাকে বিয়ে করলো,2,0
বাপরে আনারসে দাঁত টকে যায় তো দাদা এর সরবত ই ভালো,1,2
অমায়িক ব্যবহার এই রেস্টুরেন্টের স্টাফদের,1,2
ডালনা মনে জানেন না মশাই ?,0,2
রুটিওয়ালাকে অতিসত্বর বাংলাদেশ দলে তামিমের জায়গায় নেওয়া হোক । তাহলে আর ক্যাচ মিস হবেনা,2,1
কুস্টিয়ার কোথায় ? সেটা বলেন,0,2
"ভাই ক্যেমরা মেন কে খাওয়ান না , উনার খাবার টা দেখাবেন ",1,0
"চামুচ ব্যবহার করেন না , সব হাত দিয়ে নিচ্ছেন ",0,2
ভাই গ্লাবস ব্যাবহার করুন,0,2
আসলে রেস্টুরেন্ট গুলোই সব মাছ ইলিশ না । বেশির ভাগ মাছ গুলো চন্দনা ইলিশ । যারা না চিনে তারাই ঠকবে । আর দামটা আপনার মতো করে যাচাই করতে হবে । আর রুপালি ইলিশের দাম অনেক,0,1
আপনার পাশে যে একজন আসহায় মানুষ দাড়ানো আছে তাকে যদি একটা দিতেন তাহলে ভিডিও টা আরো ভাল লাগতো ,2,1
আর আমার কথা হল আমি যদি টাকা নিয়ে যাই তাহলে কিভাবে ভাংগাবো নাকি পারবো না । প্লিজ জানাবেন,0,1
খাবার সামনে নিয়ে এত কথা বলা ! সত্যিই সাহসের ব্যাপার,1,2
"এই সব নরকের কীট কে চাকরীচ্যুত করা হউক , এদের জন্য আজ বাংলাদেশ এই বেহাল অবস্থা । ধন্যবাদ যমুনা টিভি ",0,2
এই গল্পটি স্থানীয় মুরব্বীদের কাছে শোনা ,0,1
আপসহীন রিপটিং এভানেই আপসহীন ভাবে খবর প্রচার করে জান.,1,2
আরে বাবা এদেখি অভিনব পদ্বতিতে ভিক্ষা । কি করছেন আমাদের সম্মানিত প্রশাষন,0,2
আমরা 28 জন গিয়েছিলাম । ব্যাচেলর দের পার হেড 6500 টাকা করে পড়েছিল । ফ্যামিলি হলে 9000 টাকা পার হেড,1,2
ভ্যাকেশন মানেই রেট বেশী,0,1
"সিঙ্গারা এক টাকা হওয়া দরকার । কিন্তু আমাদের ঢাকাতে সবাই বড়লক্স তাই দোকানদার গুলা দাম বাড়ায় ৫ টাকা করছে , কিন্তু সেই আগের মতন এ সব টেস্ট ",1,2
