Data,Label,Hard_Word_Ratio
"স্বাস্থ্যবান হতে চাই , আমি বয়সের তুলনায় অনেক বেশি চিকন । একটু পরামর্শ দেন ",0,0.14285714285714285
ভাইয়া নতুন ভিডিও আসে না কেন,0,0.0
অন্য সব ইউনিভার্সিটিতে এর চেয়ে ভয়াবহ অবস্থা । আমি নিজে একজন ভিক্টিম । খোজ নিয়ে দেখেন,2,0.0625
আর অভাবে কত আসলে সরকারের উচিৎ ভালো কোনো পদক্ষেপ নেয়া ,1,0.0
এই সব কিছু হবে কেন কেন এরকম অত্যাচার আমি মনে করি বুয়েট প্রসাশনের দূর্বলতা,2,0.14285714285714285
সব কিছুই দরলাম ভালো পুলিশ টা অনেক ভালো কিন্তুু আমরা বাঙালিরা যা পাই তা নিয়ে বেশি ঘাটা ঘাটি করে গন্ধ বের করি পরে এর বিপরীত হয় ভাইরাল বাঙালি আজব মানুষ,2,0.1
আমার পছন্দ সাদা ভা আর গরুর মাংস,0,0.14285714285714285
ভাইয়া মুন্সিগঞ্জ বিক্রমপুরে যাবেন । অনেক অনেক ঐতিহ্যবাহী খাবার ও রেস্তোরাঁ ও আছে । অবশ্যই নতুন কিছু পাবেন,1,0.16666666666666666
"প্রথমবার দেখছি ! অনেক অনেক ভালো লাগলো ! অসাধারণ ব্রাদার , ❤ ",1,0.16666666666666666
# ধন্যবাদ সায়েম ভাই শুভকামন আপনার পরিবার এর জন্য । পরবর্তী কোথায় টুর দেয়ার প্লান মাথায় ঘুরছে,1,0.11764705882352941
"ইলিশ এর লেজ ভর্তা টাই মিছ করছেন , এইটা সব চেয়ে মজার , আর আস্ত ইলিশ কিনে ভাজি করে নিলে ৫০০ থেকে ৬০০ এর ভিতরেই পাইতেন লেজ ভর্তা , ইলিশ এর ডিম ভাজি সাথে পুরা মাছ টাই ",1,0.08108108108108109
গ্রেপ্তার হওয়া ৩ জন পুরুষ ওদের দেখানো হল না কেন ?,0,0.0
অপকর্মের সাথে পুলিশ জড়িত থাকবে এটা তো কমন বিষয় ,2,0.1111111111111111
ডালনা মনে জানেন না মশাই ?,0,0.0
"খুব সুন্দর । এতো খাবার একসাথে । নিজেকে আটকে রাখা টা চাপ হচ্ছিল । ইন্ডিয়া তে থাকি তাই , বাংলাদেশে থাকলে চলে যেতাম কালকেই ",1,0.125
ভাই আমার ইচ্ছা ছিল ফটোগ্রাফি করা,1,0.16666666666666666
লুডুস টি কোথায় পাওয়া জায় একটু বলবেন,1,0.14285714285714285
"নাইস ভিডীও , ইলিশের দামটা কত ",0,0.16666666666666666
"থালি কেন , থালা বলতে কি লজ্জা লাগে ",2,0.125
কোরআনের হাফেজ হইছে তা নিয়ে সামাজিক মাধ্যমে ভাইলার হয় না,2,0.1
